sample_id,dataset_source,subset,image_filename,image_path,file_sha256,width,height,channels,blur_variance,brightness_mean,contrast_std,r_mean,g_mean,b_mean,r_std,g_std,b_std,h_mean,s_mean,v_mean,lab_l_mean,lab_a_mean,lab_b_mean,ground_truth_drug,drug_family,concentration,cutting_agent,presumptive_label,device,lighting,lab_confirmation,is_duplicate,split
BLINDED_9XP,PMC7332374_NIHMS1576105_idPAD,blinded_study,image91.jpeg,storage/processed_images/idpad/image91.jpeg,7e90238b5ee8e502153aa97c14893abcba593ccbfdb6eaa15396b7cf7ef79b55,314,177,3,2449.64,206.88,51.9,205.93,207.19,207.8,53.01,51.67,52.67,62.74,10.97,210.96,210.88,127.78,127.56,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_A7Z,PMC7332374_NIHMS1576105_idPAD,blinded_study,image92.jpeg,storage/processed_images/idpad/image92.jpeg,84507858d3654c6f972952d0a134bfe182c8e7145dbfd172235f7926c0a1aa26,292,165,3,2833.88,200.14,57.81,199.16,200.49,200.98,59.21,57.53,57.15,56.71,10.04,203.26,204.3,127.74,127.6,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_ARA,PMC7332374_NIHMS1576105_idPAD,blinded_study,image94.jpeg,storage/processed_images/idpad/image94.jpeg,ac07c4ac90e30f3e6ebbf1680f8885c139046f759f86c3d791a0c34b007f712d,305,171,3,2490.72,196.6,58.63,195.87,196.93,196.81,58.96,58.54,59.56,58.96,11.12,200.1,200.9,127.67,127.97,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_AT8,PMC7332374_NIHMS1576105_idPAD,blinded_study,image95.jpeg,storage/processed_images/idpad/image95.jpeg,30012504883305fb7e693c1681d5e38e11631002c352735416242718b2630e6e,296,166,3,2795.42,201.93,55.15,199.94,202.29,205.15,56.67,54.82,54.99,59.83,14.83,207.73,206.09,127.84,126.32,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_AUM,PMC7332374_NIHMS1576105_idPAD,blinded_study,image96.jpeg,storage/processed_images/idpad/image96.jpeg,f69d43e5295a56ed6f35f2637b636a32f1c923e926a1ced729ceef09af7a8057,299,168,3,2650.16,203.03,53.6,203.1,202.93,203.41,53.8,53.67,54.04,61.74,8.16,205.98,207.04,128.2,127.82,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulfone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_B3F,PMC7332374_NIHMS1576105_idPAD,blinded_study,image97.jpeg,storage/processed_images/idpad/image97.jpeg,14e9b33f3d0040b6dcc1ffaab518228093cfbf81a2e2ca2466339b62aeadcbf8,300,169,3,2699.11,194.08,60.62,193.15,195.36,189.87,62.68,59.74,62.46,37.26,18.85,197.82,198.83,126.31,130.63,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_B68,PMC7332374_NIHMS1576105_idPAD,blinded_study,image98.jpeg,storage/processed_images/idpad/image98.jpeg,2ef4947c9f4a251ee62b3e0fd21d9332ddeb130e33a1d5abf3672163362a2775,304,171,3,2337.9,200.85,57.55,199.89,201.17,201.63,58.0,57.45,58.29,55.74,10.17,204.26,204.9,127.7,127.64,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BB9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image99.jpeg,storage/processed_images/idpad/image99.jpeg,a94cf661271ad9890debe74c496742a6d478ef75de44ad104ed306b2c726e11a,303,170,3,1220.03,232.42,42.24,231.12,232.43,235.67,43.59,42.36,39.51,39.45,7.96,236.21,234.25,128.22,126.21,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BDB,PMC7332374_NIHMS1576105_idPAD,blinded_study,image100.jpeg,storage/processed_images/idpad/image100.jpeg,bde1c14c4a43fafbfa7afcf374a22543c3e87feeb02874bd0b9fbb3d9ef13041,297,167,3,2873.89,204.58,55.28,202.86,205.02,206.76,56.24,55.08,55.2,60.02,10.63,208.47,208.52,127.65,126.86,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BKZ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image101.jpeg,storage/processed_images/idpad/image101.jpeg,5bf36e27ce4e2f27d020fd08d7a36518cccc4e7a9bf53a0195f06820ddcebe98,290,163,3,2865.1,198.31,58.37,198.57,198.76,195.28,59.64,58.08,58.51,30.47,13.6,201.51,202.62,127.45,129.78,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BNG,PMC7332374_NIHMS1576105_idPAD,blinded_study,image103.jpeg,storage/processed_images/idpad/image103.jpeg,3824063bbe2c1b6af06e011db73b6856d3b3a038e81783cb0918df42bf08aaff,300,169,3,2095.85,190.7,63.97,189.44,191.13,191.71,64.44,63.64,65.68,60.4,13.5,194.95,195.03,127.56,127.57,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BQ6,PMC7332374_NIHMS1576105_idPAD,blinded_study,image104.jpeg,storage/processed_images/idpad/image104.jpeg,984cfd03ffc0ad2d7b943eb86d549eca622a6403c61106baf9a8b7f7aa714fed,313,176,3,2542.88,198.33,57.7,198.2,198.49,197.76,57.87,57.67,59.05,47.62,12.37,202.08,202.52,127.85,128.39,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_BZ9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image105.jpeg,storage/processed_images/idpad/image105.jpeg,67878811f00f2080498fcf0d9fc76891fc6ac8e6b49723b12cd1f4b7f7a81de6,296,167,3,3057.44,199.72,58.33,199.34,200.09,198.81,59.65,58.05,58.15,45.82,12.15,202.98,203.86,127.64,128.58,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_C8V,PMC7332374_NIHMS1576105_idPAD,blinded_study,image106.jpeg,storage/processed_images/idpad/image106.jpeg,8f72d67bad9e3818aabcb5ef6258c61fdd4a4c50362d366c1913aef747de6a95,303,171,3,2457.27,198.22,56.77,197.47,198.55,198.45,57.3,56.54,58.08,57.51,10.75,201.6,202.53,127.68,127.98,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_C97,PMC7332374_NIHMS1576105_idPAD,blinded_study,image107.jpeg,storage/processed_images/idpad/image107.jpeg,476578231f7962f31bf38cdd74712e56a06e34b6f0203fa9b1f04fe33706e30a,294,165,3,2913.48,200.63,55.69,199.95,200.88,201.08,56.14,55.67,56.27,55.43,11.46,204.46,204.8,127.8,127.81,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_CNF,PMC7332374_NIHMS1576105_idPAD,blinded_study,image108.jpeg,storage/processed_images/idpad/image108.jpeg,2ec8829120a6ef279fab0981282918e312b0cd880d8b95a5b5db811072d79188,295,166,3,2459.65,201.4,55.37,200.56,201.8,201.46,55.87,55.08,57.17,51.17,12.47,205.37,205.6,127.57,128.08,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_CS9,PMC7332374_NIHMS1576105_idPAD,blinded_study,image111.jpeg,storage/processed_images/idpad/image111.jpeg,f01d25033200843d60185c9e233b497f89453dea7ff28d85714b2a4babfb936a,293,165,3,2910.87,193.35,61.83,193.1,193.85,191.33,61.85,61.66,64.23,47.72,15.24,196.94,197.69,127.35,129.27,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_CSE,PMC7332374_NIHMS1576105_idPAD,blinded_study,image112.jpeg,storage/processed_images/idpad/image112.jpeg,b61d62a0eab0e11eadbae201aa72ec9d2ff7f78796c88cd58b10d570e56e45c4,291,164,3,2891.81,200.29,57.35,199.86,200.45,200.59,58.01,57.22,57.54,56.25,8.64,203.04,204.37,127.87,127.9,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_D2P,PMC7332374_NIHMS1576105_idPAD,blinded_study,image114.jpeg,storage/processed_images/idpad/image114.jpeg,cbad0adc1d427aece9d3e410c086ed727eee0fe60e45c65ac8fc9925bf8f1d87,310,175,3,2447.27,195.02,60.3,194.49,195.61,193.37,60.68,59.96,62.8,50.75,13.66,198.39,199.43,127.25,129.1,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_D4G,PMC7332374_NIHMS1576105_idPAD,blinded_study,image115.jpeg,storage/processed_images/idpad/image115.jpeg,afe3805e35308f4979bd8a064153d59c005552f3493355a68fa7710488cab485,303,170,3,2523.7,193.64,61.84,192.09,193.9,196.26,62.22,61.67,63.22,62.83,14.36,198.93,197.89,127.92,126.65,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_D8H,PMC7332374_NIHMS1576105_idPAD,blinded_study,image116.jpeg,storage/processed_images/idpad/image116.jpeg,4f37b44dab629b2f34dd23ad66aa9f8401a3994c7216aa1eb02e79974621e980,311,175,3,2817.28,192.48,61.59,192.54,193.02,189.47,61.91,61.45,63.1,39.16,14.42,195.49,196.93,127.3,129.8,Methamphetamine,METHAMPHETAMINE,50%,Dimethyl Sulfone (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_DGU,PMC7332374_NIHMS1576105_idPAD,blinded_study,image117.jpeg,storage/processed_images/idpad/image117.jpeg,4e3834c9e6bf1afaacccad367aaa3dd48211d5355492126e15769293afa5dbab,311,175,3,2307.97,207.01,51.83,205.31,207.26,210.06,52.88,51.62,52.38,68.92,13.82,212.77,210.94,127.93,126.43,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_DNZ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image118.jpeg,storage/processed_images/idpad/image118.jpeg,9f6a0603b8c143b473077d3ca4a758fcf042fa9924c9621d9559dfb71ea4791e,310,175,3,2285.35,209.77,50.16,208.95,210.27,209.23,51.02,49.9,51.84,47.71,13.71,214.32,213.64,127.49,128.39,Heroin,HEROIN_OPIOID,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_DPP,PMC7332374_NIHMS1576105_idPAD,blinded_study,image119.jpeg,storage/processed_images/idpad/image119.jpeg,5c12e643df19ec0f6be89ded1000817e129e797c0d309b428b6307fd56cf19c0,311,175,3,2400.27,197.25,60.31,196.94,197.38,197.34,61.29,60.14,61.05,50.62,13.85,201.59,201.38,127.97,128.04,Cocaine HCl,COCAINE_SERIES,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_DUG,PMC7332374_NIHMS1576105_idPAD,blinded_study,image123.jpeg,storage/processed_images/idpad/image123.jpeg,64ee7787d5caf47f17be363fd1075497f3a189b055cea30288676f5498c5baf0,306,172,3,2248.74,196.07,61.1,187.86,198.7,203.89,69.42,58.88,57.83,69.98,28.23,205.07,201.33,125.84,124.24,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_E5F,PMC7332374_NIHMS1576105_idPAD,blinded_study,image125.jpeg,storage/processed_images/idpad/image125.jpeg,8cef974660d3ecadaa5a6f72132856044fa66f9c3af5cf8627cfb484456ed141,289,163,3,2620.46,195.96,58.57,197.27,196.04,191.94,58.16,58.67,60.82,34.17,15.12,199.53,200.29,127.82,130.31,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_E6Y,PMC7332374_NIHMS1576105_idPAD,blinded_study,image126.jpeg,storage/processed_images/idpad/image126.jpeg,b131858d6a01024583b95262e72ab8235a84c33c2c17cd83839b3271e952fdec,302,170,3,2209.26,201.0,59.24,201.47,201.34,197.89,59.64,59.06,60.8,30.77,13.46,203.93,205.02,127.56,129.83,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_EL5,PMC7332374_NIHMS1576105_idPAD,blinded_study,image129.jpeg,storage/processed_images/idpad/image129.jpeg,48df90bbe54efc85c8afe28f8c29a381b8f3f70000eea8547eb46e0d4786dda8,294,166,3,2723.36,196.64,61.4,196.01,196.72,197.79,61.54,61.35,63.01,52.25,14.45,201.57,200.66,128.07,127.46,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_ELJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image130.jpeg,storage/processed_images/idpad/image130.jpeg,c90428e8e2b6e6c1d279da0db470a470273f992fa581e4bbc18d114af76a7344,298,168,3,2861.18,201.32,57.46,200.37,201.77,201.43,58.4,57.15,58.46,53.28,13.67,205.54,205.39,127.52,128.06,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_ERK,PMC7332374_NIHMS1576105_idPAD,blinded_study,image131.jpeg,storage/processed_images/idpad/image131.jpeg,6228d56ad77755bb6d503a490a2c48dd9e2507ee0ff976692b1ca78015eded45,296,167,3,2742.68,204.31,54.26,203.26,204.55,205.75,55.04,54.13,55.05,59.36,12.55,209.02,208.31,127.87,127.3,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_EUJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image132.jpeg,storage/processed_images/idpad/image132.jpeg,e81ee42b852fb79d55abb4e3043aa0f078805f38db81d1178b9fd1e58a87c3dc,290,163,3,2522.36,192.01,62.85,190.72,192.45,193.02,63.1,62.59,65.22,58.09,15.0,196.78,196.36,127.58,127.61,Heroin,HEROIN_OPIOID,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_EYH,PMC7332374_NIHMS1576105_idPAD,blinded_study,image133.jpeg,storage/processed_images/idpad/image133.jpeg,d5557423b67e27f180598032e8e1f25b7e5965ad5d4317af67d075cb2763a8de,294,165,3,2619.36,194.32,58.43,197.1,194.17,187.9,57.51,58.47,62.32,34.06,20.13,198.66,198.78,128.03,131.72,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_F2Q,PMC7332374_NIHMS1576105_idPAD,blinded_study,image134.jpeg,storage/processed_images/idpad/image134.jpeg,a08e9e67a69e949bd1292e7d104b92838ac81ebeb101148ca7d069956fc28924,301,169,3,2523.36,198.6,57.62,197.39,199.09,199.34,58.68,57.37,57.92,60.49,10.62,201.85,202.92,127.55,127.7,Cocaine HCl,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_F4X,PMC7332374_NIHMS1576105_idPAD,blinded_study,image135.jpeg,storage/processed_images/idpad/image135.jpeg,29c8d1d71014bf74607c60382d228f3527db93646eeb8136a15b76020b24f607,294,166,3,2577.49,191.97,63.67,189.49,192.46,195.8,64.82,63.34,63.92,68.45,14.38,197.39,196.26,127.67,125.98,Crack Cocaine 1,COCAINE_SERIES,100%,Cut with Nicotinamide,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FCJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image136.jpeg,storage/processed_images/idpad/image136.jpeg,fbf9497b46de882c5f29eadfc7035256b2a47c89eee703b61f1b00d3d5c00574,302,170,3,2005.04,188.85,62.8,187.39,189.18,190.82,62.91,62.61,65.21,61.19,16.98,194.67,193.37,127.81,127.05,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FDB,PMC7332374_NIHMS1576105_idPAD,blinded_study,image137.jpeg,storage/processed_images/idpad/image137.jpeg,e2a822d7425aef5c64df8f6a7480aeef3476da4fd89aa894cf74579eae099294,308,173,3,2681.77,201.35,53.19,198.46,202.49,203.25,56.9,52.2,52.62,68.7,15.94,206.25,206.05,126.94,127.2,Methamphetamine,METHAMPHETAMINE,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FF7,PMC7332374_NIHMS1576105_idPAD,blinded_study,image138.jpeg,storage/processed_images/idpad/image138.jpeg,7fb6654b8a2a719eac54f2339c020026a777dc71f55313b89ed6b21511c562b1,294,165,3,2322.1,203.0,55.04,205.82,203.11,195.09,55.18,54.98,57.12,22.54,20.14,207.47,207.13,127.65,132.43,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FGB,PMC7332374_NIHMS1576105_idPAD,blinded_study,image139.jpeg,storage/processed_images/idpad/image139.jpeg,11466ee70de6683d4575c636999e48e8d5946849e54e417bd51c1dcc4944f637,293,165,3,2440.18,194.77,60.97,193.74,194.99,196.38,61.08,60.95,62.25,60.33,12.61,199.26,198.99,127.9,127.19,None,NEGATIVE_CUTTING_AGENT,0%,Dimethyl Sulphone (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FJJ,PMC7332374_NIHMS1576105_idPAD,blinded_study,image140.jpeg,storage/processed_images/idpad/image140.jpeg,836b1b91fe2f00482c13ce67d8c44e66934423d372db2791f82bc5888f8d9d7c,288,162,3,2043.25,192.45,65.75,193.65,192.62,188.37,64.76,65.82,69.55,32.57,18.06,195.93,196.53,127.73,130.47,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FRL,PMC7332374_NIHMS1576105_idPAD,blinded_study,image141.jpeg,storage/processed_images/idpad/image141.jpeg,a3e4a3bde026858b43e4e14cd3fa3932530c4d023e47afeac931a5949bc90de2,307,173,3,2110.17,198.25,60.2,196.42,198.93,199.54,61.4,59.76,61.32,57.88,13.6,202.7,202.46,127.33,127.44,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FRX,PMC7332374_NIHMS1576105_idPAD,blinded_study,image142.jpeg,storage/processed_images/idpad/image142.jpeg,7cfbd52e4120303ebdd639870c840f950340c1315d48949f510f77ea7d0c6220,289,162,3,2780.97,203.93,54.61,202.46,204.47,204.98,55.4,54.46,54.6,62.02,9.76,207.11,207.99,127.46,127.49,Heroin,HEROIN_OPIOID,25%,Lactose (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FW7,PMC7332374_NIHMS1576105_idPAD,blinded_study,image144.jpeg,storage/processed_images/idpad/image144.jpeg,f973d0bf2abd0109f043ba52597d24319b05becd811a991e18326ea377fa5b9b,294,165,3,2642.36,209.18,52.44,207.69,209.63,210.71,53.47,52.16,52.83,56.29,10.46,213.16,212.94,127.6,127.25,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_FWC,PMC7332374_NIHMS1576105_idPAD,blinded_study,image145.jpeg,storage/processed_images/idpad/image145.jpeg,c585f23d997ff251a0d7d10547721ab37838710d58f7361c3c1921777827a5fb,301,169,3,2761.0,191.79,62.57,191.68,192.18,190.0,62.79,62.47,64.22,45.24,14.45,195.21,196.17,127.53,129.13,Crack Cocaine 1,COCAINE_SERIES,100%,Cut with Nicotinamide,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_G35,PMC7332374_NIHMS1576105_idPAD,blinded_study,image146.jpeg,storage/processed_images/idpad/image146.jpeg,bda5c3435859e172c2fd167d8f61a11b5158dfc9c6b446fbe06f3f2a36fa2193,304,171,3,2850.76,194.43,60.89,193.76,194.82,194.01,61.36,60.67,62.67,51.76,16.21,199.04,198.74,127.59,128.35,None,NEGATIVE_CUTTING_AGENT,0%,Lactose (100%),PRESUMPTIVE_NEGATIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_G6Z,PMC7332374_NIHMS1576105_idPAD,blinded_study,image147.jpeg,storage/processed_images/idpad/image147.jpeg,49bd4759d5029e14883f635cf8fb9634b42d979a6bc64e212bbcbfb1e65a481f,303,170,3,2832.73,205.37,52.47,200.3,206.75,211.31,55.69,51.76,51.24,75.6,18.72,212.71,209.77,126.83,124.97,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_GCT,PMC7332374_NIHMS1576105_idPAD,blinded_study,image148.jpeg,storage/processed_images/idpad/image148.jpeg,76e17a7253ff1536f8eb9df9f414b44a17c5b75cae1a69ba210f3126a7864571,296,167,3,2821.95,200.84,57.79,199.64,201.12,202.44,58.71,57.67,57.87,59.47,12.62,205.31,204.89,127.83,127.17,Methamphetamine,METHAMPHETAMINE,25%,Dimethyl Sulfone (75%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_GGD,PMC7332374_NIHMS1576105_idPAD,blinded_study,image149.jpeg,storage/processed_images/idpad/image149.jpeg,485dd4d1dfa7f5c6c5361b3c89010ccb93f16e16507d90ac6af3181bd1ce22b8,297,167,3,2599.56,195.56,61.36,194.03,196.24,196.08,62.13,61.03,63.0,55.71,12.93,199.32,199.88,127.29,127.89,Cocaine HCl,COCAINE_SERIES,50%,Lactose (50%),PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
BLINDED_GLK,PMC7332374_NIHMS1576105_idPAD,blinded_study,image151.jpeg,storage/processed_images/idpad/image151.jpeg,d35f4a0cce4ddaa3a10493aea663ee7ee27f80802618ac6da67c46b51b0b6420,311,175,3,2452.42,195.92,62.01,197.23,196.09,191.47,61.76,61.97,64.6,32.53,16.17,199.27,200.03,127.7,130.61,Crack Cocaine 2,COCAINE_SERIES,100%,None,PRESUMPTIVE_POSITIVE,idPAD_12Lane_Paper_Device,LED_Lightbox_Standard,FTIR_and_GCMS_Berrien_County_Crime_Lab,False,train
